,,,,,,,,,,,,
,,,,,,,,,,,,
62,,雙北,Taipei,,,,,,,,,
63,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
64,,烏來,五重溪,V3 A3 III,50m,2026,,30min,yes,6hr,,
65,,烏來,"山羊洞溪
昇龍瀑布",V3 A3 III,70m,2024.6.30,,2hr,no,6hr,,書生 video
66,,三峽,"中坑溪
雲森瀑布",V4 A3 II,50m,2026.5.1,,40min,no,,,terry video
67,,平溪,"新寮溪右股
野人谷瀑布",V4 A3 III,50m,2026,,,no,,,樂溯 video
68,,平溪,"新寮溪左股
翠谷瀑布",,,2023.8,,,,,,樂溯 video
69,,瑞芳,藏龍峽谷,V2 A2 III,30m,2025.6,,30min,yes,6hr,,terry video
70,,瑞芳,"半屏溪
半屏大瀑布
大鬼瀑布",v4 a3 IV,60m,2024.07,,,yes,,,walker video
71,,瑞芳,"石壁坑溪
夢幻瀑布",v3a3I,25m,,,,,,,書生video
72,,汐止,"大尖山溪
大尖山瀑布",V3 A2 III,30m,2024.08,,30min,yes,5hr,,Terry video
73,,汐止,"康誥坑溪
秀峰瀑布",v2 a3 II,,,,,,,,photo
74,,石門,"阿里磅溪
阿里磅瀑布",v4 a2 III,40m,,,,,,,schoen video
75,,新店,"楣子寮溪
銀河洞瀑布",,50m,,,,,,,schoen video
76,,平溪,大粗坑溪,v4 a3 II,60m,2023.5.20,,1hr,yes,3hr,,photo
77,,,,,,,,,,,,
78,,桃園,Taoyuan,,,,,,,,,
79,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
80,,復興,"高坡溪
山羊隔壁支流",V4 A2 III,80m,2023.2/5,思揚,1min,yes,6hr,,Photo
81,,復興,"高坡溪
吼盪峽谷
(山羊峽谷)",V4 A3 IV,45m,2026,思揚,1min,yes,6hr,,photo
82,,復興,"高坡溪
彩虹瀑布",,70m,2024.713,,,,,,
83,,復興,"義興溪
龍鳳瀑布",V4 A3 III,60m,,,1min,yes,6hr,,
84,,復興,"低陸溪
彩虹瀑布到
三光溪峽廊",V4 A3 III,70m,2026,廷倫,40min,no,8hr,,Topo
85,,巴陵,三光溪,v3 a4 III,20m,,,,,,,
86,,復興,高義溪,v3 a3 III,25m,,,,no,,,
87,,復興,幽靈瀑布,,40m,2024.11.17,,,,,,terry video
88,,新竹,Hsinchu,,,,,,,,,
89,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
90,,石磊,"馬里光溪
馬里光瀑布",V4 A3 III,70m,2026.4,,10min,yes,,,
91,,五峰,霞喀羅溪支流,"🄳🅄
V4 A3 III",80m,2023.3,思揚,10min,yes,,,terry video
92,,五峰,"上坪溪支流
隘蘭","🄳🅄
V4 A2 III",50m,2024.10.20,麒安,10min,yes,4-5hr,,
93,,五峰,"上坪溪支流
谷燕瀑布",,,2023.7/15,煥瑞,1min,yes,,,全天然點
94,,五峰,上坪溪支流,v3 a2 II,35m,2024.7.13,Justen,,,,,"清泉風景
景觀台"
95,,五峰,"花園溪
梅后蔓瀑布",v4 a3 l,45m,,,,,,,
96,,,麥巴來溪,,,2024.12,rich,,,,,
97,,,霞喀羅溪支流,,,2026.1,rich,,Yes,6-7hr,,
98,,,白蘭溪,,,202405,,,,,,
99,,,"塔克金溪
下泰崗溪",,,,,,,,,
100,,苗栗,Miaoli,,,,,,,,,
101,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
102,,南庄,"風美溪
苦花潭瀑布",v2 a3 l,,,,,,,,
103,,泰安,"東洗水溪
水雲瀑布",v3 a3 II,30m,,,,,,,
104,,,汶水溪,,50m,,,,,,,支流
105,,,,,,,,,,,,
106,,台中,Taichung,,,,,,,,,
107,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
108,,和平,"大甲溪支流
七重天",V4A2III,,,,,,,,
109,,和平,巴拉唔溪,V3A2II,,20240523,阿梅,,,,,1han video
110,,和平,牛坪坑,V2A2III,,2024.1,,,,,,
111,,,陳有蘭溪峽谷,,,,,,,,,
112,,和平,池有溪,v4a3VI,70m,2017.1/2,廷倫,,,,,
113,,谷關,龍谷瀑布,,80m,,,,,,,
114,,,,,,,,,,,,
115,,南投,Nantou,,,,,,,,,
116,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
117,,仁愛,帖比倫溪,"v2 a4 II
⭐️⭐️⭐️",15m,2026,,,yes,,,
118,,仁愛,塔羅灣溪,v5 a3 IV,100m,,,,,,,
119,,信義,"濁水溪支流
久久安","V5 A2 III
（枯）",100m,2026.1,阿寶,,,,,1han video
120,,信義,"濁水溪支流
治卯山",,,2025.4,,1day,,4day,no,
121,,信義,"濁水溪支流
雙龍瀑布",,,,,,,,,
122,,信義,"清水溪支流
水濂洞瀑布",,,,,,,,,
123,,東埔,"陳有蘭溪
陳有蘭峽谷",,,,,,,,,
124,,東埔,"陳有蘭溪
雲龍瀑布",,,,,,,,,
125,,,能高下雲海,,130m,,煥瑞,,,,,
126,,霧社,"霧社溪支流
上山西北峰","V3 A3 IV
（枯）",80m,2023.11/16,煥瑞,,,,,
127,,霧社,卜溪支流,"V3 A3 III
（枯）",60M,2023.11/17,煥瑞,,,,,支流匯主流
128,,竹山,"加走寮溪
太極峽谷
石杭峽谷","v5 a4 IV
⭐️⭐️⭐️",75m,2026,,,,,,
129,,竹山,加走寮溪,,130m,,,,,,,支流
130,,竹山,"清水溪支流
洞山寮瀑布群","V4 A1 III
⭐️",,,Rich,,,,,1han video
131,,,發祥溪,,,2024.11,rich,,,,,
132,,,蘭島溪,,,2024.11,rich,,,,,
133,,,濁水溪曲冰支流,,,2024.09,rich,,,,,
134,,,久久巢,,,2024.08,rich,,,,,
135,,,彩蝶瀑布,,60m,,,,,,,
136,,,十粒溪上段,V5A4VI,,2024.10.10,煥瑞,,,4day,,下萬大
137,,,十粒溪下段,V5A5VI,,2024.11.15,日本隊,,,4day,,
138,,,眉原溪,,,2024.9,,,,,,支流
139,,,,,,,,,,,,
140,,,,,,,,,,,,
141,,彰化,Changhua,,,,,,,,,
142,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
143,,,,,,,,,,,,
144,,,,,,,,,,,,
145,,雲林,Yunlin,,,,,,,,,
146,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
147,,古坑,"清水溪
同心峽谷",V4 A5III,50m,2025,Justen,20min,yes,,,
148,,古坑,神谷溪,"V3 A4 IV
豐",60m,,,,yes,,,匯主流A4
149,,古坑,"清水溪
萬年峽谷","v4 a3 III
⭐️",45m,,,,,,,
150,,古坑,"竹嵩水溪
蓬萊瀑布","V4 A3 I
⭐️⭐️",100m,,,,,,,
151,,斗六,坪瀨溪,,200m,2021.2/28,蕭昱,,,,,
152,,古坑,天長地久瀑布,,50m,2019,,,,,,1han video
153,,古坑,"清水溪支流
黃鷺瀑布群",,,,,,,,,1han video
154,,嘉義,Chiayi,,,,,,,,,
155,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
156,,,觀音溪,V4 A3 III,70m,,,,,,,
157,,阿里山,"濁水溪
蛟龍瀑布",v6 a3 V,640m,2024.4.21,中搜,1day,yes,2day,,
158,,阿里山,後大埔溪,,70m,2024.08,rich,,yes,1day,,
159,,梅山,"銅寮溪
青龍瀑布","v4 a3 III
⭐️",130m,,,,,,,
160,,梅山,"粗紙坑溪支流
雲潭瀑布",v4 a3 II,50m,,,,,,,
161,,梅山,梅山十六瀑,,100m,,,,,,,
162,,番路,"半嶺溪
半嶺溪瀑布群",v3 a4 III,40m,,,,,,,
163,,番路,"草山溪
青潭瀑布",V2 A3 lll,25m,,,,,,,
164,,,"竹坑溪
龍宮瀑布",,90m,,,,,,,
165,,阿里山,"烏其哈溪
爵爵斯
象山瀑布",V4 A4 V,190m,20240702,煥瑞,4hr,yes,2day,,支流匯主流
166,,,旗山溪,,,,,,,,,
167,,,,,,,,,,,,
168,,台南,Tainan,,,,,,,,,
